ID,Ethnicity_Catagory,Ethnicity_Quest,Gender,Age,Age_Range,Wash_Freq of BB (# times per week),Wash_Range,Innie_or_outie,Country til age 12,ZIP code til age 12,Country ages 13-19,Zipcode ages 13-19,Current ZIPcode,Current City,Current State,Reads
1421,Unknown,Unknown,Male,24,19 to 35,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1000
1437,Hispanic,Hispanic,Male,20,19 to 35,7,7 days a week,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
1560,Hispanic,Hispanic,Female,34,19 to 35,0,none,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NC,1000
1350,Hispanic,Hispanic,Female,20,19 to 35,1,Less than 7,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Fayetteville,NC,1000
YWL1054,non-Hispanic White,Caucasian,Female,31,19 to 35,4,Less than 7,innie,Unknown,Unknown,Unknown,Unknown,02130,Boise,ID,1000
1366,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1000
1392,non-Hispanic White,Caucasian,Male,8,8 to 18,5,Less than 7,Outie,Unknown,Unknown,Unknown,Unknown,Unknown,SanFord,NC,1000
1400,non-Hispanic White,Caucasian,Male,10,8 to 18,0,none,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Greenville,NC,1000
1408,non-Hispanic White,Caucasian,Female,37,36 to 74,7,7 days a week,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Asheboro,NC,1000
1422,Hispanic,Hispanic,Male,20,19 to 35,2,Less than 7,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
1430,non-Hispanic Black,African American,Female,56,36 to 74,7,7 days a week,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
1438,non-Hispanic White,Caucasian,Male,21,19 to 35,0,none,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Cary,NC,1000
1565,non-Hispanic White,Caucasian,Male,32,19 to 35,0,none,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NC,1000
1351,non-Hispanic White,Caucasian,Female,54,36 to 74,7,7 days a week,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Wake Forest ,NC,1000
YWL1060,Unknown,Unknown ,Female,28,19 to 35,1.5,Less than 7,innie,Unknown,Unknown,Unknown,Unknown,60642,San Jose,CA,1000
1359,non-Hispanic White,Caucasian,Male,0,0 to 7,1,Less than 7,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
1393,non-Hispanic White,Caucasian,Male,5,0 to 7,5,Less than 7,Outie,Unknown,Unknown,Unknown,Unknown,Unknown,SanFord,NC,1000
1401,non-Hispanic White,Caucasian,Female,36,36 to 74,4,Less than 7,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Greenville,NC,1000
1409,Hispanic,Hispanic,Female,14,8 to 18,5,Less than 7,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Asheboro,NC,1000
1423,Hispanic,Hispanic,Male,20,19 to 35,3,Less than 7,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
1431,non-Hispanic White,Caucasian,Male,23,19 to 35,0,none,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Cary,NC,1000
1442,Unknown,Unknown,Female,68,36 to 74,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1000
1566,Unknown,Unknown,Female,32,19 to 35,0,none,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NC,1000
1352,non-Hispanic White,Caucasian,Female,38,36 to 74,7,7 days a week,Outie,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
YWL1062,non-Hispanic White,Caucasian,Female,43,36 to 74,0,None,innie,Unknown,Unknown,Unknown,Unknown,98122,Boulder,CO,1000
1368,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1000
1394,non-Hispanic White,Caucasian,Female,42,36 to 74,0,none,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Wake Forest ,NC,1000
1410,non-Hispanic White,Caucasian,Female,57,36 to 74,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Asheboro,NC,1000
1424,Hispanic,Hispanic,Male,19,19 to 35,2,Less than 7,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
1432,non-Hispanic White,Caucasian,Male,21,19 to 35,7,7 days a week,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
1567,non-Hispanic White,Caucasian,Male,59,36 to 74,7,7 days a week,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NC,1000
1353,non-Hispanic White,Caucasian,Female,40,36 to 74,4,Less than 7,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Fuquay Varina,NC,1000
YWL1074,non-Hispanic White,Caucasian,Female,41,36 to 74,0,None,innie,Unknown,Unknown,Unknown,Unknown,13760,Warrior,AL,1000
1361,non-Hispanic White,Caucasian,Female,42,36 to 74,6,Less than 7,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Cary,NC,1000
1395,Unknown,Unknown,Male,9,8 to 18,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Middlesex,NC,1000
1411,non-Hispanic White,Caucasian,Female,11,8 to 18,4,Less than 7,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Apex,NC,1000
1433,Hispanic,Hispanic,Male,22,19 to 35,7,7 days a week,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
1492,non-Hispanic White,Caucasian,Female,24,19 to 35,0,none,Innie,usa,28590,usa,28590,,Raleigh,NC,1000
1528,non-Hispanic White,Caucasian,Unknown,68,36 to 74,3,Less than 7,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NC,1000
1568,non-Hispanic White,Caucasian,Male,66,36 to 74,1,Less than 7,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NC,1000
1354,Unknown,Unknown,Female,25,19 to 35,1,Less than 7,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Broken Arrow,OK,1000
YWL1196,non-Hispanic White,Caucasian,Female,36,36 to 74,1,Less than 7,innie,Unknown,Unknown,Unknown,Unknown,63304,St. Louis,MO,1000
1370,non-Hispanic Black,African American,Female,23,19 to 35,4,Less than 7,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
1404,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1000
1412,non-Hispanic White,Caucasian,Female,11,8 to 18,7,7 days a week,Outie,Unknown,Unknown,Unknown,Unknown,Unknown,Fayetteville,NC,1000
1426,non-Hispanic White,Caucasian,Male,20,19 to 35,3,Less than 7,Outie,Unknown,Unknown,Unknown,Unknown,Unknown,Gastonia,NC,1000
1434,Hispanic,Hispanic,Male,19,19 to 35,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
YWL1198,Asian,Chinese,Female,41,36 to 74,0,None,innie,Unknown,Unknown,Unknown,Unknown,98122,Burlington,NC,1000
YWL1207,Unknown,Unknown,Female,57,36 to 74,0,None,innie,Unknown,Unknown,Unknown,Unknown,10524,Sheridan,OR,1000
YWL1232,non-Hispanic White,Caucasian,Male,28,19 to 35,4,Less than 7,innie,Unknown,Unknown,Unknown,Unknown,1130 ??,Vienna,Austria,1000
CALS1007,Latino,Caucasian/Latino,Male,Unknown,Unknown,0.25,none,Outie,USA,27587,USA,27587,,Wake Forest,NC,1000
CALS1015,non-Hispanic White,Caucasian,Female,Unknown,Unknown,7,7 days a week,Innie,USA,27512,USA,27614,,Raleigh,NC,1000
YWL1034,non-Hispanic White,Caucasian,Male,62,36 to 74,0,None,innie,Unknown,Unknown,Unknown,Unknown,62002,Alton,IL,1000
YWL1010,non-Hispanic White,Caucasian,Female,42,36 to 74,1,Less than 7,innie,Unknown,Unknown,Unknown,Unknown,97203,Portland,OR,1000
YWL1156,non-Hispanic White,Caucasian,Male,29,19 to 35,7,7 days a week,innie,Unknown,Unknown,Unknown,Unknown,84043,Timonium,MD,1000
YWL1200,non-Hispanic White,Caucasian,Male,65,36 to 74,Unknown,Unknown,innie,Unknown,Unknown,Unknown,Unknown,02137,east greenbush,NY,1000
YWL1212,non-Hispanic White,Caucasian,Male,64,36 to 74,2,Less than 7,innie,Unknown,Unknown,Unknown,Unknown,99206-5818,Kaneohe ,HI,1000
YWL1233,Unknown,Unknown,Female,30,19 to 35,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1070 ??,Raleigh,NC,1000
YWL1219,non-Hispanic White,Caucasian,Female,38,36 to 74,0,None,innie,Unknown,Unknown,Unknown,Unknown,80123,Portland,OR,1000
