city,Cloudiness,country,Date,Humidity,lat,lon,Max Temp,Wind Speed
cravo norte,8.0,co,2018-03-02 06:39:03,52.0,6.10,-69.78,77.96,4.21
abnub,0.0,eg,2018-03-02 05:00:00,50.0,25.47,25.97,53.6,2.64
bukama,32.0,cd,2018-03-02 06:39:04,99.0,-8.77,25.61,69.5,4.65
leningradskiy,24.0,ru,2018-03-02 06:39:04,83.0,76.76,175.56,21.26,11.7
arkhara,0.0,ru,2018-03-02 06:39:05,42.0,49.38,129.79,18.29,6.78
san quintin,40.0,mx,2018-03-02 06:00:00,70.0,23.48,-123.04,87.8,6.93
cap-aux-meules,32.0,ca,2018-03-02 06:38:01,91.0,48.39,-62.57,26.66,17.52
mar del plata,0.0,ar,2018-03-02 06:39:05,49.0,-64.44,-33.03,63.34,14.94
puerto ayora,80.0,ec,2018-03-02 06:39:06,100.0,-13.61,-93.19,78.82,5.44
marion,1.0,us,2018-03-02 05:56:00,43.0,42.40,-91.36,35.6,9.17
kutum,0.0,sd,2018-03-02 06:39:07,20.0,13.34,24.88,64.33,11.81
hobart,40.0,au,2018-03-02 06:00:00,56.0,-46.24,154.18,69.8,10.29
rikitea,92.0,pf,2018-03-02 06:36:38,100.0,-61.58,-138.17,80.89,18.86
ushuaia,75.0,ar,2018-03-02 06:00:00,76.0,-88.07,-89.43,48.2,25.28
mataura,68.0,pf,2018-03-02 06:37:59,75.0,-61.51,-148.17,71.03,9.46
clarence town,90.0,bs,2018-03-02 06:00:00,69.0,22.51,-74.70,75.2,13.87
ponta do sol,56.0,cv,2018-03-02 06:39:08,97.0,16.85,-32.85,64.64,2.75
kachug,56.0,ru,2018-03-02 06:39:08,64.0,54.71,105.98,1.33,3.65
ushuaia,75.0,ar,2018-03-02 06:00:00,76.0,-88.94,-31.86,48.2,25.28
jamestown,44.0,sh,2018-03-02 06:39:09,66.0,-49.97,-13.24,77.02,1.74
dikson,64.0,ru,2018-03-02 06:39:09,95.0,81.64,76.65,0.11,13.71
chimore,92.0,bo,2018-03-02 06:35:39,97.0,-16.52,-64.98,71.89,2.98
